id_estudiante,carrera,materia,calificacion,semestre,año
1,Ingeniería Indust,Algoritmos,9.8,1,2024
2,Ingeniería Civil,Programación,8.9,1,2024
3,Ingeniería Civil,Estadística,6.1,2,2023
4,Ingeniería Civil,Física,9.4,7,2022
5,Ingeniería Civil,Física,7.5,7,2022
6,Ingeniería Mecár,Cálculo,7.4,4,2024
7,Ingeniería Indust,Física,6.8,8,2023
8,Ingeniería Civil,Cálculo,9.3,8,2022
9,Ingeniería Mecár,Base de Datos,6.2,8,2022
10,Ingeniería en Co,Programación,5.5,6,2022
11,Ingeniería Indust,Cálculo,6.4,7,2023
12,Ingeniería Mecár,Programación,7.7,6,2024
13,Ingeniería Mecár,Física,9.9,3,2023
14,Ingeniería Civil,Cálculo,9.8,5,2022
15,Ingeniería en Co,Cálculo,9.4,7,2022
16,Ingeniería en Co,Estadística,8.3,5,2023
17,Ingeniería Indust,Algoritmos,9.6,1,2023
18,Ingeniería Civil,Estadística,5.8,7,2023
19,Ingeniería Indust,Algoritmos,9.1,3,2022
20,Ingeniería en Co,Estadística,9.9,6,2023
21,Ingeniería Mecár,Algoritmos,9.4,7,2024
22,Ingeniería Mecár,Estadística,5.0,5,2024
23,Ingeniería Civil,Estadística,9.5,7,2024
24,Ingeniería Mecár,Programación,8.1,6,2022
25,Ingeniería Indust,Estadística,8.4,5,2022
26,Ingeniería en Co,Algoritmos,5.0,6,2022
27,Ingeniería Mecár,Estadística,6.5,4,2022
28,Ingeniería Indust,Programación,7.4,1,2022
29,Ingeniería Indust,Estadística,9.4,3,2024
30,Ingeniería Mecár,Física,8.5,1,2023
31,Ingeniería Civil,Base de Datos,5.3,8,2023
32,Ingeniería Indust,Estadística,9.7,3,2024
33,Ingeniería Indust,Física,9.0,7,2023
34,Ingeniería Mecár,Programación,7.1,7,2024
35,Ingeniería Civil,Estadística,6.2,1,2024
36,Ingeniería Indust,Base de Datos,9.4,3,2022
37,Ingeniería Mecár,Cálculo,9.0,5,2022
38,Ingeniería Civil,Algoritmos,5.5,6,2022
39,Ingeniería Mecár,Física,6.4,6,2023
40,Ingeniería Indust,Cálculo,7.1,8,2024
41,Ingeniería Mecár,Base de Datos,5.8,5,2024
42,Ingeniería Civil,Algoritmos,6.5,3,2024
43,Ingeniería Civil,Cálculo,7.9,7,2023
44,Ingeniería Civil,Base de Datos,9.3,5,2023
45,Ingeniería en Co,Física,6.7,6,2023
46,Ingeniería Civil,Física,9.7,3,2024
47,Ingeniería Mecár,Base de Datos,7.9,7,2024
48,Ingeniería Indust,Cálculo,7.0,2,2024
49,Ingeniería Mecár,Cálculo,5.7,3,2022
50,Ingeniería Mecár,Algoritmos,6.9,6,2022
51,Ingeniería Mecár,Cálculo,7.5,3,2024
52,Ingeniería Civil,Programación,6.2,6,2022
53,Ingeniería Mecár,Física,7.7,8,2022
54,Ingeniería en Co,Algoritmos,8.2,3,2022
55,Ingeniería Civil,Física,5.4,6,2022
56,Ingeniería Mecár,Cálculo,8.0,8,2022
57,Ingeniería Civil,Cálculo,8.8,6,2024
58,Ingeniería Civil,Programación,9.9,5,2022
59,Ingeniería Civil,Física,7.2,2,2023
60,Ingeniería en Co,Estadística,9.1,5,2024
61,Ingeniería Mecár,Cálculo,5.0,1,2022
62,Ingeniería Civil,Programación,7.4,5,2024
63,Ingeniería Indust,Estadística,6.5,4,2023
64,Ingeniería Mecár,Estadística,8.8,1,2023
65,Ingeniería Civil,Programación,5.1,6,2024
66,Ingeniería Civil,Física,7.4,7,2022
67,Ingeniería Mecár,Programación,7.1,1,2024
68,Ingeniería Civil,Programación,7.3,8,2022
69,Ingeniería Indust,Programación,6.2,3,2023
70,Ingeniería Indust,Cálculo,8.7,1,2023
71,Ingeniería Mecár,Base de Datos,6.7,4,2023
72,Ingeniería Mecár,Cálculo,7.1,6,2024
73,Ingeniería Mecár,Física,6.9,1,2024
74,Ingeniería Mecár,Estadística,6.3,4,2024
75,Ingeniería Indust,Base de Datos,5.9,3,2023
76,Ingeniería Mecár,Física,8.3,8,2023
77,Ingeniería en Co,Programación,9.7,6,2024
78,Ingeniería en Co,Base de Datos,7.6,8,2023
79,Ingeniería en Co,Base de Datos,9.9,3,2022
80,Ingeniería Indust,Programación,6.5,3,2024
81,Ingeniería Indust,Física,8.5,7,2023
82,Ingeniería Mecár,Física,8.9,7,2024
83,Ingeniería Civil,Estadística,7.9,6,2024
84,Ingeniería Civil,Cálculo,9.7,4,2024
85,Ingeniería Civil,Programación,9.7,7,2024
86,Ingeniería en Co,Base de Datos,5.7,2,2022
87,Ingeniería Indust,Algoritmos,9.6,7,2022
88,Ingeniería Indust,Estadística,5.7,4,2024
89,Ingeniería Mecár,Cálculo,8.9,7,2022
90,Ingeniería en Co,Cálculo,6.0,3,2023
91,Ingeniería Indust,Base de Datos,9.9,2,2023
92,Ingeniería en Co,Algoritmos,8.6,2,2024
93,Ingeniería en Co,Física,6.4,3,2024
94,Ingeniería Civil,Cálculo,9.4,6,2024
95,Ingeniería Civil,Programación,7.3,4,2022
96,Ingeniería Mecár,Base de Datos,7.1,3,2024
97,Ingeniería Indust,Física,9.6,3,2022
98,Ingeniería en Co,Algoritmos,6.5,6,2022
99,Ingeniería en Co,Física,5.3,4,2022
100,Ingeniería Indust,Base de Datos,6.3,5,2024
101,Ingeniería Civil,Cálculo,9.7,3,2024
102,Ingeniería Indust,Programación,7.0,8,2022
103,Ingeniería Mecár,Cálculo,6.9,5,2022
104,Ingeniería en Co,Programación,5.5,2,2024
105,Ingeniería Civil,Algoritmos,6.2,7,2022
106,Ingeniería en Co,Estadística,6.0,7,2024
107,Ingeniería Civil,Física,6.2,6,2024
108,Ingeniería Indust,Base de Datos,9.6,8,2022
109,Ingeniería Civil,Cálculo,9.5,4,2022
110,Ingeniería Indust,Base de Datos,6.9,7,2022
111,Ingeniería Civil,Base de Datos,7.0,5,2024
112,Ingeniería en Co,Física,9.5,4,2024
113,Ingeniería Civil,Programación,9.1,3,2022
114,Ingeniería Mecár,Estadística,7.4,4,2023
115,Ingeniería en Co,Física,6.3,7,2024
116,Ingeniería en Co,Estadística,6.2,8,2024
117,Ingeniería Civil,Cálculo,7.1,1,2024
118,Ingeniería en Co,Estadística,9.0,8,2024
119,Ingeniería Indust,Estadística,8.4,8,2024
120,Ingeniería Indust,Base de Datos,5.9,1,2022
121,Ingeniería Indust,Cálculo,9.7,7,2023
122,Ingeniería Mecár,Base de Datos,7.2,7,2022
123,Ingeniería en Co,Programación,8.9,3,2022
124,Ingeniería Indust,Física,6.3,7,2023
125,Ingeniería Indust,Física,5.5,3,2023
126,Ingeniería Indust,Base de Datos,6.2,7,2022
127,Ingeniería en Co,Física,5.3,6,2022
128,Ingeniería Indust,Base de Datos,9.5,3,2023
129,Ingeniería Mecár,Estadística,8.3,6,2024
130,Ingeniería Mecár,Cálculo,8.5,6,2023
131,Ingeniería Mecár,Estadística,7.5,5,2023
132,Ingeniería en Co,Algoritmos,8.0,3,2023
133,Ingeniería Civil,Cálculo,5.2,5,2024
134,Ingeniería Mecár,Programación,7.7,1,2022
135,Ingeniería en Co,Algoritmos,7.9,6,2024
136,Ingeniería en Co,Algoritmos,9.5,6,2024
137,Ingeniería Indust,Cálculo,6.9,6,2022
138,Ingeniería en Co,Base de Datos,8.7,1,2022
139,Ingeniería Indust,Estadística,9.2,2,2023
140,Ingeniería Mecár,Programación,7.6,8,2024
141,Ingeniería Mecár,Algoritmos,5.2,2,2024
142,Ingeniería Civil,Cálculo,9.6,8,2022
143,Ingeniería Civil,Estadística,9.2,1,2024
144,Ingeniería Mecár,Base de Datos,8.0,1,2022
145,Ingeniería Mecár,Física,5.8,7,2022
146,Ingeniería Indust,Cálculo,9.2,3,2023
